***|moderate
neonazis|severe
neutered|mild
nigaboo|severe
niger|severe
nigers|severe
nigg3r|severe
nigg4h|severe
nigga|severe
niggah|severe
niggardly|mild
niggas|severe
niggaz|severe
nigger|severe
niggers|severe
niggers |severe
niglet|severe
nincompoop|mild
nipples|mild
nitwit|mild
nob|moderate
nob jokey|moderate
nobhead|moderate
nobjocky|moderate
nobjokey|moderate
numb-nuts|mild
numbnuts|mild
numbskull|mild
nut|mild
nut sack|mild
nutcase|mild
nutjob|mild
nutjobs|mild
nuts|mild
nutsack|mild
nutter|mild
nutters|mild
nutty|mild
oafish|mild
obnoxious|mild
obtuse|mild
octopussy|moderate
odious|mild
offender|mild
offenders|mild
omg|mild
opportunist|mild
opportunistic|mild
opportunists|mild
oppresser|mild
oppressive|mild
oral|mild
orgasim |moderate
orgasims |moderate
orgasm|moderate
orgasms |moderate
orgy|moderate
ovaries|mild
p****|moderate
pies|moderate
py|moderate
pssies|moderate
pssy|moderate
p0rn|moderate
paf|mild
paki|severe
panooch|moderate
panties|mild
paranoid|mild
parasite|mild
parasites|mild
parasitic|mild
passive-aggresive|mild
passiveaggresive|mild
patheti|mild
pathetic|mild
pathetically|mild
pawn|mild
peanuthead|mild
pecker|moderate
peckerhead|moderate
pedo|severe
pedophile|severe
pedophiles|severe
pedophilia|severe
pee|mild
pegged|moderate
pendejo|moderate
penetrated|moderate
penetrates|moderate
penetrating|moderate
penis|moderate
penis-extension|moderate
penisbanger|severe
penisextension|moderate
penisfucker|severe
penispuffer|moderate
peo|mild
perjurs|mild
perpetrators|mild
pervert|mild
perverted|mild
perverts|mild
pesky|mild
petulance|mild
petulant|mild
petullent|mild
phonesex|moderate
phony|mild
phuck|severe
phuk|severe
phuked|severe
phuking|severe
phukked|severe
phukking|severe
phuks|severe
phuq|severe
pig|mild
pig-headed|mild
pigfucker|moderate
piggish|mild
pigheaded|mild
piglets|mild
pigs|mild
pimpis|moderate
pinocchio|mild
piss|moderate
pissed|moderate
pissed off|moderate
pisser|moderate
pissers|moderate
pisses|moderate
pisses |moderate
pissflaps|moderate
pissin |moderate
pissing|moderate
pissoff |moderate
polesmoker|severe
pollock|moderate
pompas|mild
pompous|mild
poo|mild
poof|moderate
poon|moderate
poonani|moderate
poonany|moderate
poontang|moderate
poop|mild
poopy|mild
porch monkey|severe
porchmonkey|severe
porn|moderate
porno|moderate
pornography|moderate
pornos|moderate
potheads|mild
potty|mild
predator|moderate
predators|moderate
pretentious|mild
prick|moderate
pricks |moderate
primitive|mild
pron|moderate
prostitute|moderate
prostitutes|moderate
prostitution|moderate
pseudo-human|mild
pseudohuman|mild
psycho|mild
psycho-killers|moderate
psychokillers|moderate
psychopath|moderate
psychopaths|moderate
psychotic|moderate
pussy|moderate
pube|mild
pucker|mild
puke|mild
puking|mild
punanny|moderate
punch|mild
punched|mild
punk|mild
punks|mild
punta|moderate
puppet|mild
puppets|mild
purp|mild
pusse|moderate
pussi|moderate
pussies|moderate
pusssy|moderate
pussy|moderate
pussy-grabbing|moderate
pussygrabbing|moderate
pussyh|moderate
pussylicking|severe
pussys |moderate
puto|severe
putrid|mild
queef|moderate
queer|moderate
queerbait|moderate
queerhole|severe
rabid|mild
rabidly|mild
racis|severe
racism|severe
racist|severe
racists|severe
radicals|mild
rancid|mild
rape|severe
raped|severe
rapes|severe
raping|severe
rapist|severe
rapist-in-chief|severe
rapistinchief|severe
rapists|severe
rat|mild
rat's|mild
rathole|mild
rats|mild
raving|mild
rear|mild
rectum|mild
redenbacher|mild
rediculous|mild
redneck|moderate
reek|mild
reich|severe
reichwing|severe
religious-hypocrite|mild
religioushypocrite|mild
renob|mild
reproduce|mild
reptilian|mild
repugnant|mild
repulsive|mild
retard|severe
retarded|severe
retards|severe
ridicule|mild
ridiculou|mild
ridiculous|mild
ridiculously|mild
ridiculousness|mild
rimjaw|moderate
rimjob|moderate
rimming|moderate
robbed|mild
robs|mild
rooskies|moderate
rot|mild
rotten|mild
rubbish|mild
ruining|mild
ruski|moderate
s hit|moderate
s***|moderate
st|moderate
s.o.b.|moderate
s_h_i_t|moderate
sabotage|mild
sack|mild
sacks|mild
sadist|moderate
sanctimonious|mild
sand nigger|severe
sandnigger|severe
satan|mild
satan's|mild
scammers|mild
scams|mild
schill|mild
schlong|moderate
schmuck|mild
schmucks|mild
schumucks|mild
scks|mild
scoundrel|mild
screw|mild
screwed|mild
screwing|mild
scroat|moderate
scrote|moderate
scrotum|moderate
scrub|mild
scu|mild
scum|mild
scum-sucking|moderate
scumbag|moderate
scumbags|moderate
scummy|mild
scumsucking|moderate
sed|mild
self-fornication|moderate
self-loving|mild
self-satisfied|mild
selffornication|moderate
selfish|mild
selfloving|mild
selfsatisfied|mild
semen|moderate
senile|mild
sex|mild
sexism|moderate
sexist|moderate
sexists|moderate
sexual|mild
sh!+|moderate
sh!t|moderate
sh|moderate
sh**load|moderate
sht|moderate
sh1t|moderate
shag|moderate
shagger|moderate
shaggin|moderate
shagging|moderate
sham|mild
shameless|mild
sheeps|mild
shemale|moderate
shity|moderate
shi+|moderate
shifty|mild
shills|mild
shit|moderate
shit-heads|moderate
shitass|moderate
shitbag|moderate
shitbagger|moderate
shitbrains|moderate
shitbreath|moderate
shitcanned|moderate
shitcunt|severe
shitdick|severe
shite|moderate
shited|moderate
shitey|moderate
shitface|moderate
shitfaced|moderate
shitfuck|severe
shitfull|moderate
